report_date,stock_code,company_name,title,summary,gap_score
2022-03-10,1,平安银行,2021年报点评：业绩增速稳中有升，资产质量持续改善,2021年业绩符合预期，增速稳中有升。2021全年营收1694 亿元，同比增长10.3%，增速较前三季度回升1.2个百分点，主要是其他非息收入贡献;全年PPOP同比增长11.6%，增速较前三季度回升2.9个百分点；全年归母净利润363 亿元，同比增长25.6%，增速较前三季度降低4.5 个百分点，主要是基数原因导致，剔除基数因来看，全年归母净利润两年平均增长13.5%，较前三季度回升2.4个百分点。2021年加权ROE10.9%，同比回升1.3个百分点。资产规模稳健扩张。2021 年总资产同比增长10.1%至4.92 万亿元，增速比前期略有下降；不过公司零售AUM仍然维持两位数增长，年末零售AUM达到3.18万亿元，同比增长21.3%。此外，存款同比增长10.9%至2.99万亿元，贷款同比增长14.9%至2.98万亿元；年末核心一级资本充足率8.60%，较三季末基本持平。,0.064143
2022-03-10,1,平安银行,业绩保持稳健高增，资产质量持续改善,"事件：3月9日，平安银行公布2021年年报。公司全年实现营收/拨备前利润/净利润1693.8/1198.0/363.4亿元，分别同比增长10.3%/11.6%/25.6%。ROE为10.85%，同比上升1.27个百分点。点评如下：
在规模、非息、拨备驱动下，净利润实现较高增速。2021年营收同比增10.3%；净利润同比增25.6%。盈利贡献拆分看：收入端，量增价收之下，净利息收入维持平稳增长（同比+6.1%）；非息收入增速更快（同比+22.4%），主要受益于财富管理手续费快速增长，以及债券投资收益、公允价值收益增长。支出端，成本收入比28.3%，同比下降0.81pct，经营质效提升。在不良出清、拨备充足的背景下，2021年拨备计提力度较为温和（信用减值损失同比增长4.8%）。整体来看，规模增长、非息收入、以及拨备对利润的正向贡献较大，推动净利润高增。",0.02388966
2022-03-10,1,平安银行,归母净利润同比+25.6%，拨备覆盖率大幅增长,"事件：公司发布年报，2021年营收1693.83亿元、同比+10.3%；归母净利润363.36亿元、同比+25.6%，归母净利润相当于我们此前预测值的99.3%。拨备前利润1196.96亿元、同比+11.7%。加权平均ROE10.85%、同比+1.27pct。Q421归母净利润72.01亿元、同比+10.3%、环比-37.7%。
资产规模稳健增长，资产质量持续改善：发放贷款3.06万亿元、同比+14.9%，吸收存款2.96万亿元、同比+10.8%，净息差2.79%、同比-9BP，信贷规模扩张快于息差下降，带动利息净收入1203.36亿元、同比+6.1%。不良贷款率1.02%、同比-0.16pct，拨备覆盖率288.42%、同比+87.02pct。全年累计核销贷款404.18亿元、同比-31.9%，收回不良贷款327.71亿元、同比+25.7%。公司房地产相关贷款质量良好值得重点关注，年末房地产贷款余额2889.23亿元、同比+6.2%、占贷款总额的9.4%；房地产贷款不良率0.22%、远低于企业贷款不良率0.71%。",0.051406384
2022-03-10,1,平安银行,营收增速环比提升，资产质量持续改善,"事件描述
公司2021年实现营业收入1693.83亿元，同比增长10.3%；净利润363.36亿元，同比增长25.6%；平均ROA0.77%，增加0.08个百分点；加权平均ROE10.85%，增加1.27个百分点。",0.04780072
2022-03-11,1,平安银行,业绩持续高增，战略推进积极,平安银行2022年净利润363.36亿，同比增长25.6%。规模、拨备和其他非息贡献业绩高增，息差下行。净利息收入同比增长6.1%，净手续费收入同比增长11.5%，其他非息同比增长53.5%，营业收入同比增长10.3%，总资产较年初增长10.1%，贷款较年初增长14.9%，存款增长11.9%。不良率1.02%，拨备覆盖率288%，核心一级资本充足率8.60%。,0.056655884
2022-03-11,1,平安银行,点评报告：盈利增速维持高位,"报告关键要素:
2022年3月10日，平安银行发布2021年年度业绩报告。",1.0879505
2022-03-11,1,平安银行,2021年年报详解：财富管理突破，资产质量向好,"事件：3月10日，平安银行发布2021年年报，营收1693.83亿元，YoY+10.3%；归母净利润363.36亿元，YoY+25.6%；净息差2.79%(-9BP)；不良率1.02%(-16BP)，拨备覆盖率288.4%(+87.02pct)。
营收增速触底回升，利润保持高增。21年营收增速较21Q3环比+1.2pct，其中受益于21Q4信贷投放较好，净利息收入增速有所企稳；净手续费收入增速亦微弱好转。规模扩张和拨备反哺利润是归母净利润保持高增的主要因素。",0.029765487
2022-04-27,1,平安银行,2022年一季报点评：存款增长加快，净息差环比回升,净利润增长超出预期。2022年一季度营收462亿元，同比增长10.6%，增速较去年年报小幅回升0.3个百分点;一季度PPOP同比增长13.3%，增速较去年年报回升0.8个百分点；一季度归母净利润129亿元，同比增长26.8%，增速较去年年报回升1.2个百分点。考虑到去年年报的同比基数较低，因此去年全年归母净利润的两年平均增速为13.5%，相比之下，今年一季度的业绩增速超出我们预期。一季度加权ROE14.1%，同比回升1.8个百分点。,0.022715628
2022-04-27,1,平安银行,Q1归母净利润同比+26.8%，资产质量良好,事件：公司Q122营收462.07亿元、同比+10.6%，拨备前利润335.19亿元、同比+13.4%，归母净利润128.50亿元、同比+26.8%。年化加权平均ROE14.1%、同比+1.82pct。收入分部：利息净收入319.42亿元、同比+7.3%、占比69.1%，手续费及佣金净收入88.87亿元、同比+4.8%、占比19.2%，投资净收益45.68亿元、同比+55.7%、占比9.9%，其他收入8.10亿元、同比+33.2%、占比1.8%。,0.86158586
2022-04-27,1,平安银行,净息差环比回升，业绩保持高增,"事件：4月26日，平安银行公布2022年一季报。公司全年实现营收/拨备前利润/净利润462.1/336.6/128.5亿元，分别同比增长10.6%/13.6%/26.8%。加权平均ROE为14.1%，同比上升1.82pct。点评如下：
在规模、非息、拨备驱动下，净利润实现较高增速。1Q22营收同比增10.6%；净利润同比增26.8%，延续回升态势。盈利贡献拆分看：收入端，量升价稳、净利息收入维持平稳增长（同比+7.3%）；非息收入同比增18.7%，主要得益于投资收益的增长。支出端，成本收入比26.2%，同比下降1.92pct，经营质效提升。在不良出清、拨备充足的背景下，一季度公司拨备计提力度较为温和（信用减值损失同比小幅增3.7%）。整体来看，规模、非息收入、以及拨备对利润的正向贡献较大，推动净利润保持高增。",0.016689599
